id_bien;surface_carrez;type_local;surface_reelle;nombre_pieces;surface_terrain;voie;commune_id
15004;51.67;Appartement;55;2;;EMILE ZOLA;1933
15005;96.05;Appartement;95;4;;EUGENE GUILLEMIN;1942
15006;61.63;Appartement;61;2;;DES CEDRES;1931
15007;40.94;Appartement;40;2;;FRANCIS DE PRESSENSE;1934
15008;87.6;Appartement;89;4;;LUDOVIC BONIN;1934
15009;67.22;Appartement;67;3;;BEAU VALLON;1938
15010;65.37;Appartement;64;3;;JULES VALLES;1933
15011;64.13;Appartement;65;3;;EMILE ZOLA;1933
15012;61.67;Appartement;62;4;;LUCIEN BUISSON;1931
15013;60.9;Appartement;60;3;;DE LA BATTERIE;1942
15014;25.58;Appartement;26;1;;TOLSTOI;1933
15015;60.02;Appartement;60;3;;DU HUIT MAI 1945;1933
15016;37.31;Appartement;37;1;;LEON BLUM;1933
15017;68.65;Appartement;68;4;;DES FIGUIERES;1947
15018;62.51;Appartement;63;3;;DES MARTYRS DE LA RES;1934
15019;90.28;Appartement;89;3;;DU QUATRE AOUT;1933
15020;54.5;Appartement;53;2;;JEAN CLAUDE VIVANT;1933
15021;49.01;Appartement;48;2;;JULES GUESDE;1934
15022;103.01;Appartement;102;3;;GABRIEL PERI;1933
15023;66.58;Appartement;66;3;;GEORGES BIZET;1935
15024;56.3;Appartement;59;3;;EMILE ZOLA;1933
15025;68;Appartement;67;3;;ETIENNE CLEMENTEL;1938
15026;78.46;Appartement;78;4;;DE GENAS;1942
15027;60.67;Appartement;64;3;;CHARLES PLASSE;1940
15028;42.02;Appartement;41;2;;DU PROFESSEUR ROUX;1934
15029;47.82;Appartement;47;2;;FAILLEBIN;1933
15030;73.23;Appartement;74;3;;JEAN JAURES;1940
15031;62.62;Appartement;58;4;;DE LA FORGE;1950
15032;35.22;Appartement;35;2;;LOUIS BLANC;1940
15033;88.18;Appartement;89;4;;DES TERRES NOIRES;1935
15034;56.52;Appartement;57;2;;DE L EGLISE;1946
15035;115.5;Appartement;110;3;;LOUIS GIRARDET;1940
15036;22.42;Appartement;35;1;;FRANCIS DE PRESSENSE;1940
15037;78.2;Appartement;75;4;;GEORGES LADOIRE;1947
15038;66.65;Appartement;63;3;;ANTOINE LUMIERE;1935
15039;28;Appartement;26;2;;GASPARD PICARD;1934
15040;23.25;Appartement;23;1;;DU PREMIER MARS 1943;1933
15041;24;Appartement;23;2;;DU PREMIER MARS 1943;1933
15042;62.68;Appartement;62;3;;DE LYON;1941
15043;113.97;Maison;103;5;;DE BEARN;1931
15044;101.49;Appartement;99;4;;CLAUDE BERRI;1938
15045;128.06;Appartement;130;4;;DOUZIEME RUE;1938
15046;66.1;Appartement;65;3;;ARISTIDE BRUANT;1934
15047;33.99;Appartement;32;2;;DU CIMETIERE;1933
15048;69.13;Appartement;65;3;;DE GENAS;1942
15049;60.94;Appartement;60;3;;JULES VALLES;1933
15050;65.04;Appartement;65;4;;DE GENAS;1942
15051;43.5;Appartement;43;2;;DES CHARMETTES;1933
15052;92.6;Appartement;91;9;;DE GENAS;1942
15053;81.26;Maison;83;4;;DES EPIS;1951
15054;84.41;Maison;82;4;;DU DAUPHINE;1931
15055;78.23;Appartement;75;3;;CLEMENT MICHUT;1933
15056;43.25;Appartement;43;2;;DES COLLONGES;1952
15057;38.12;Appartement;37;2;;DU PERRON;1953
15058;53.37;Appartement;53;3;;ROUTE D'IRIGNY;1952
15059;46.65;Appartement;46;2;;DIDEROT;1953
15060;72;Appartement;71;3;;BAUDIN;1953
15061;84.23;Appartement;82;4;;DU FRERE BENOIT;1954
15062;77.78;Appartement;77;4;;DU 11 NOVEMBRE;1955
15063;49.89;Appartement;51;2;;DE LA BUSSIERE;1953
15064;104.11;Maison;102;4;;DU PERRON;1956
15065;131.6;Appartement;93;4;;DE LA PILLOTTE;1952
15066;163.15;Maison;130;6;;GENERAL DE GAULLE;1957
15067;23.05;Appartement;23;1;;DE LA MAIRIE;1958
15068;63.91;Appartement;59;3;;DE LA GAILLARDIERE;1959
15069;66.64;Appartement;68;3;;DES BASSES BAROLLES;1952
15070;57.4;Appartement;57;2;;DES ARONDIERES;1960
15071;54.07;Appartement;61;2;;FLEURY NEUVESEL;1961
15072;29.94;Appartement;45;2;;JEAN JAURES;1960
15073;89.4;Appartement;95;3;;DE LA DAMETTE;1962
15074;107.5;Appartement;107;5;;DU 8 MAI 1945;1956
15075;46.06;Appartement;43;2;;CHARLES DE GAULLE;1960
15076;46.3;Appartement;46;2;;GENERAL DE GAULLE;1957
15077;102.08;Maison;102;4;;DE VARISSAN;1961
15078;66.58;Appartement;67;3;;DU CENTRE;1963
15079;51.19;Appartement;54;3;;DU 11 NOVEMBRE 1918;1956
15080;46.39;Appartement;46;2;;DES BASSES BAROLLES;1952
15081;57.39;Appartement;48;2;;DU BATARD;1959
15082;83.08;Appartement;83;4;;CLAUDE JUSSEAUD;1955
15083;52.04;Appartement;51;3;;JEANNE PARISET;1957
15084;77.47;Appartement;75;3;;DE LA GLORIETTE;1964
15085;45.5;Appartement;45;2;;DE LA GIRAUDIERE;1957
15086;96.48;Maison;96;4;;DES COQUELICOTS;1957
15087;68.05;Appartement;72;4;;DES PROVINCES;1955
15088;29.53;Appartement;30;3;;LORTET;1953
15089;51.04;Appartement;56;2;;DES FERRATIERES;1965
15090;128.76;Appartement;134;5;;DAISY GEORGES MARTIN;1962
15091;33.02;Appartement;35;2;;DU PENSIONNAT;1954
15092;65.56;Appartement;65;3;;CHARLES DE GAULLE;1952
15093;65.96;Appartement;65;3;;DES MARTYRS DE LA LIBERATI;1966
15094;69.31;Appartement;68;3;;DU GRAND REVOYET;1952
15095;30.54;Appartement;35;1;;STEPHANE DECHANT;1954
